id,name,logo_url,transparency_grade,coverage_type,order_books,first_trade,first_candle,first_order_book,num_pairs,num_pairs_unmapped,last_updated,fiat_currencies,rank,weight,centralized,decentralized,1d.volume,1d.volume_change,1d.volume_change_pct,1d.trades,1d.trades_change,1d.trades_change_pct,1d.spot_volume,1d.spot_volume_change,1d.spot_volume_change_pct,1d.derivative_volume,1d.derivative_volume_change,1d.derivative_volume_change_pct,location,website_url
binance,Binance,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/binance.svg,A,trades,true,2017-07-13T00:00:00Z,2017-07-13T00:00:00Z,2018-08-29T00:00:00Z,2135,4,2022-01-20T00:02:57.611Z,AUD;BRL;EUR;GBP;NGN;RUB;TRY;UAH;USD;ZAR,1,1.0000,true,false,34968897971.17,-2673772241.57,-0.0710,43092063,-4183892,-0.0885,13040185693.24,-1190569292.74,-0.0837,21928712277.93,-1483202948.83,-0.0634,Malta,https://www.binance.com/
ftx,FTX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/ftx.png,A,trades,true,2019-03-05T00:00:00Z,2019-03-05T00:00:00Z,2019-10-15T00:00:00Z,1944,97,2022-01-20T00:03:12.682Z,AUD;BRL;EUR;USD,2,0.8426,true,false,17812959622.72,5584676751.70,0.4567,8291340,-335104,-0.0388,1863078722.55,147077284.39,0.0857,15949880900.17,5437599467.31,0.5173,Antigua and Barbuda,https://ftx.com/
cryptomkt,CryptoMarket,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/cryptomkt.jpeg,A,trades,true,2013-12-27T00:00:00Z,2013-12-27T00:00:00Z,2021-12-01T00:00:00Z,149,5,2022-01-20T00:02:51.832Z,BRL;CLP,3,0.5404,true,false,3133990568.90,-274230807.25,-0.0805,509056,-24289,-0.0455,3133990568.90,-274230807.25,-0.0805,,,,Chile,https://www.cryptomkt.com/
gdax,Coinbase Exchange,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/gdax.png,A,trades,true,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,2018-09-11T00:00:00Z,434,9,2022-01-20T00:03:08.086Z,EUR;GBP;USD,4,0.8999,true,false,3075137778.04,-135887665.72,-0.0423,4450449,-137715,-0.0300,3075137778.04,-135887665.72,-0.0423,,,,United States,https://www.coinbase.com/
uniswapv3,Uniswap V3 (Ethereum),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/uniswapv3.png,A,trades,true,2021-05-04T00:00:00Z,2021-05-04T00:00:00Z,2021-11-11T00:00:00Z,3428,2194,2022-01-20T00:01:54Z,,5,0.8262,false,true,1675489178.00,-61701833.81,-0.0355,32298,53,0.0016,1675489178.00,-61701833.81,-0.0355,,,,United States,https://uniswap.org
gateio,Gate.io,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/gateio.png,A,trades,true,2017-09-29T00:00:00Z,2017-09-29T00:00:00Z,2021-06-11T00:00:00Z,2525,66,2022-01-20T00:02:55.251Z,USD,6,0.7431,true,false,1096211749.78,-113437609.34,-0.0938,6216876,-722339,-0.1041,1096211749.78,-113437609.34,-0.0938,,,,Cayman Islands,https://www.gate.io/
bitmex,Bitmex,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/bitmex.png,A,trades,true,2014-11-06T00:00:00Z,2014-11-06T00:00:00Z,2018-09-12T00:00:00Z,322,462,2022-01-20T00:03:12.126Z,CNY;EUR;JPY;USD,7,0.7423,true,false,1074186920.89,182664576.21,0.2049,261237,-14275,-0.0518,,,,1074186920.89,182664576.21,0.2049,Seychelles,https://www.bitmex.com/
lbank,Lbank,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/lbank.jpg,A,trades,true,2017-09-29T00:00:00Z,2017-09-29T00:00:00Z,2019-06-04T00:00:00Z,1331,50,2022-01-20T00:03:04.457Z,,8,0.6617,true,false,934057841.28,-153160026.08,-0.1409,5081741,-257699,-0.0483,934057841.28,-153160026.08,-0.1409,,,,China,https://www.lbank.info/
kraken,Kraken,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/kraken.svg,A,trades,true,2013-09-10T00:00:00Z,2013-09-10T00:00:00Z,2019-01-31T00:00:00Z,434,0,2022-01-20T00:03:04.15Z,AUD;CAD;CHF;EUR;GBP;JPY;USD,9,0.7731,true,false,884269444.37,-98643374.55,-0.1004,512357,-73299,-0.1252,884269444.37,-98643374.55,-0.1004,,,,United States,https://www.kraken.com/
deversifi,DeversiFi,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/deversifi.jpg,A,trades,true,2013-01-14T00:00:00Z,2013-01-14T00:00:00Z,2020-03-25T00:00:00Z,495,204,2022-01-20T00:03:05.144Z,EUR;GBP;JPY;USD,10,0.5936,false,true,874410932.85,-78280485.26,-0.0822,628395,-75817,-0.1077,874410932.85,-78280485.26,-0.0822,0.00,,,British Virgin Islands,https://www.deversifi.com/
phemex,Phemex,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/phemex.jpeg,A,trades,true,2019-11-24T00:00:00Z,2019-11-24T00:00:00Z,2020-04-20T00:00:00Z,6,9,2022-01-20T00:00:04.612Z,USD,11,0.6356,true,false,550693361.00,32127823.82,0.0620,115469,-6167,-0.0507,,,,550693361.00,32127823.82,0.0620,Singapore,https://phemex.com/
pancakeswapv2,PancakeSwap V2,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/pancakeswapv2.jpg,A,trades,true,2021-04-23T00:00:00Z,2021-04-23T00:00:00Z,2021-10-28T00:00:00Z,22591,675650,2022-01-20T00:01:51Z,,12,0.8192,false,true,542411074.34,-37868800.38,-0.0653,1172418,-119632,-0.0926,542411074.34,-37868800.38,-0.0653,,,,Japan,https://pancakeswap.finance
bitflyer,bitFlyer,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/bitflyer.png,A,trades,true,2015-06-24T00:00:00Z,2015-06-24T00:00:00Z,2019-10-22T00:00:00Z,130,0,2022-01-20T00:01:52.217Z,EUR;JPY;USD,13,0.7077,true,false,407672466.13,12177293.15,0.0308,327189,4571,0.0142,146521468.18,6746645.51,0.0483,261150997.95,5430647.65,0.0212,Japan,https://bitflyer.com/
curve,Curve Finance,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/curve.jpg,A,trades,false,2021-04-07T00:00:00Z,2021-04-07T00:00:00Z,,110,4,2022-01-19T23:59:01Z,,14,0.6571,false,true,347787104.13,118827290.52,0.5190,538,36,0.0717,347787104.13,118827290.52,0.5190,,,,Switzerland,https://curve.fi/
uniswapv2,Uniswap V2,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/uniswap.svg,A,trades,true,2020-05-05T00:00:00Z,2020-05-05T00:00:00Z,2021-10-27T00:00:00Z,12176,49708,2022-01-20T00:01:59Z,USD,15,0.7621,false,true,322191888.97,-41254694.21,-0.1135,45120,-2747,-0.0574,322191888.97,-41254694.21,-0.1135,,,,United States,https://uniswap.org
delta_futures,Delta Exchange,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/delta_futures.png,A+,trades,true,2019-03-13T00:00:00Z,2019-03-13T00:00:00Z,2019-11-15T00:00:00Z,28884,11,2022-01-20T00:03:02.492242Z,USD,16,0.6181,true,false,316683135.29,8178423.82,0.0265,476559,-83436,-0.1490,,,,316683135.29,8178423.82,0.0265,Singapore,https://delta.exchange/
spookyswap,SpookySwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/spookyswap.png,A,trades,true,2021-04-17T00:00:00Z,2021-04-17T00:00:00Z,2021-10-27T00:00:00Z,411,10230,2022-01-20T00:01:48Z,,17,0.6239,false,true,287249100.54,6747509.93,0.0241,123120,-5031,-0.0393,287249100.54,6747509.93,0.0241,,,,,https://spookyswap.finance/
bitstamp,Bitstamp,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/bitstamp.jpg,A,trades,true,2011-08-18T00:00:00Z,2011-08-18T00:00:00Z,2019-03-13T00:00:00Z,144,2,2022-01-20T00:03:15Z,EUR;GBP;USD,18,0.6850,true,false,215610999.30,-29756082.58,-0.1213,82862,-6113,-0.0687,204285334.49,-20344406.73,-0.0906,,,,Luxembourg,https://www.bitstamp.net/
probit,ProBit,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/probit.jpg,A,trades,true,2018-12-27T00:00:00Z,2018-12-27T00:00:00Z,2020-03-27T00:00:00Z,1452,159,2022-01-20T00:03:07.272Z,KRW,19,0.6323,true,false,215446762.25,-5426525.35,-0.0246,487487,-21026,-0.0413,215446762.25,-5426525.35,-0.0246,,,,Seychelles,https://www.probit.com
sushiswap,SushiSwap (Ethereum),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sushiswap.jpg,A,trades,true,2020-09-04T00:00:00Z,2020-09-04T00:00:00Z,2021-10-27T00:00:00Z,1504,1019,2022-01-20T00:00:37Z,,20,0.6750,false,true,208361597.32,-98662920.46,-0.3214,13428,-1964,-0.1276,208361597.32,-98662920.46,-0.3214,,,,,https://sushi.com
traderjoe,Trader Joe,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/traderjoe.png,A,trades,true,2021-06-29T00:00:00Z,2021-06-29T00:00:00Z,2021-10-27T00:00:00Z,629,8941,2022-01-20T00:02:02Z,,21,0.6132,false,true,205626363.51,-15125027.67,-0.0685,110373,-14744,-0.1178,205626363.51,-15125027.67,-0.0685,,,,,https://www.traderjoexyz.com/
ftx_us,FTX.us,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/ftx_us.png,A,trades,true,2020-04-05T00:00:00Z,2020-04-05T00:00:00Z,2020-05-21T00:00:00Z,65,0,2022-01-20T00:02:51.282Z,AUD;BRL;EUR;USD,22,0.6107,true,false,189901381.08,62564798.97,0.4913,52140,-2801,-0.0510,189901381.08,62564798.97,0.4913,,,,United States,https://ftx.us/
gemini,Gemini,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/gemini.svg,A,trades,true,2015-10-08T00:00:00Z,2015-10-08T00:00:00Z,2019-03-05T00:00:00Z,103,10,2022-01-20T00:02:34Z,EUR;GBP;SGD;USD,23,0.6799,true,false,146675413.90,10872807.21,0.0801,216383,18995,0.0962,146675413.90,10872807.21,0.0801,,,,United States,https://www.gemini.com/
sushiswap_avalanche,SushiSwap (Avalanche),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sushiswap.jpg,A,trades,true,2021-03-15T00:00:00Z,2021-03-15T00:00:00Z,2021-10-27T00:00:00Z,75,98,2022-01-20T00:02:41Z,,24,0.6476,false,true,95724206.44,-13266997.36,-0.1217,17772,-7625,-0.3002,95724206.44,-13266997.36,-0.1217,,,,,https://sushi.com
liquid,Liquid,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/liquid.jpg,A,trades,true,2014-07-17T00:00:00Z,2014-07-17T00:00:00Z,2019-05-09T00:00:00Z,618,18,2022-01-20T00:01:22Z,AUD;CNY;EUR;HKD;IDR;INR;JPY;PHP;SGD;USD,25,0.6017,true,false,85151465.42,9030194.27,0.1186,114115,6502,0.0604,79864362.80,7988614.28,0.1111,,,,Japan,https://www.liquid.com/
poloniex,Poloniex,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/poloniex.svg,A,trades,true,2014-01-18T00:00:00Z,2014-01-18T00:00:00Z,2018-12-05T00:00:00Z,607,4,2022-01-20T00:02:46Z,,26,0.6556,true,false,75060304.68,1556402.28,0.0212,276124,-26073,-0.0863,75060304.68,1556402.28,0.0212,,,,United States,https://poloniex.com/
spiritswap,SpiritSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/spiritswap.jpg,A,trades,true,2021-04-25T00:00:00Z,2021-04-25T00:00:00Z,2021-10-27T00:00:00Z,161,1465,2022-01-20T00:01:59Z,,27,0.4394,false,true,52746059.67,-4451180.52,-0.0778,23571,-4097,-0.1481,52746059.67,-4451180.52,-0.0778,,,,,https://www.spiritswap.finance
sushiswap_arbitrum,SushiSwap (Arbitrum),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sushiswap.jpg,A,trades,true,2021-08-31T00:00:00Z,2021-08-31T00:00:00Z,2021-10-27T00:00:00Z,116,765,2022-01-19T23:59:01Z,,28,0.6218,false,true,46060475.54,-13812901.01,-0.2307,3413,-659,-0.1618,46060475.54,-13812901.01,-0.2307,,,,,https://sushi.com
uniswapv3_polygon,Uniswap V3 (Polygon),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/uniswapv3.png,A,trades,true,2021-12-20T00:00:00Z,2021-12-20T00:00:00Z,2022-01-03T00:00:00Z,295,648,2022-01-20T00:02:08Z,,29,0.6859,false,true,45440485.87,-11500504.72,-0.2020,29845,-3028,-0.0921,45440485.87,-11500504.72,-0.2020,,,,United States,https://uniswap.org
